Updates,Runtime,Method
10,67.205,Naive 5M
20,85.607,Naive 5M
50,154.519,Naive 5M
100,403.659,Naive 5M
200,799.974,Naive 5M
10,8.297,R+PS+DS 5M
20,8.383,R+PS+DS 5M
50,10.034,R+PS+DS 5M
100,13.793,R+PS+DS 5M
200,34.296,R+PS+DS 5M
10,784.527,Naive 50M
20,981.275,Naive 50M
50,1732.63,Naive 50M
100,0,Naive 50M
200,0,Naive 50M
10,90.336,R+PS+DS 50M
20,92.649,R+PS+DS 50M
50,100.293,R+PS+DS 50M
100,115.827,R+PS+DS 50M
200,167.757294,R+PS+DS 50M
10,93.725,Naive TPCC
20,187.303,Naive TPCC
50,662.946,Naive TPCC
100,1444.31,Naive TPCC
200,0,Naive TPCC
10,20.613,R+PS+DS TPCC
20,21.548,R+PS+DS TPCC
50,23.154,R+PS+DS TPCC
100,27.682,R+PS+DS TPCC
200,49.374,R+PS+DS TPCC
10,63.004,Naive YCSB
20,48.296,Naive YCSB
50,143.852,Naive YCSB
100,395.253,Naive YCSB
200,1217.874,Naive YCSB
10,4.137,R+PS+DS YCSB
20,4.21,R+PS+DS YCSB
50,4.68,R+PS+DS YCSB
100,6.985,R+PS+DS YCSB
200,21.905,R+PS+DS YCSB
